time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
1143,0,1.162643,1.492939,2.962924,0.1351978,0,0.8821971,1.415433,2.740878,0.01676195,0.1188606
1156,0,1.163269,1.492962,2.961437,0.1172079,0,0.8820795,1.41545,2.740906,0.008860958,-0.8994918
1170,0,1.163335,1.493401,2.960122,0.1000125,0,0.881991,1.415432,2.740965,0.007773837,-0.8597743
1184,0,1.16293,1.493557,2.95919,0.07364134,0,0.8819184,1.415366,2.741062,0.009871643,-1.318556
1198,0,1.162714,1.494018,2.958519,0.05980516,0,0.8818855,1.415221,2.74119,0.01394401,-0.6918088
1212,0,1.162139,1.494947,2.958263,0.0801602,0,0.881897,1.414965,2.74135,0.02158655,1.017752
1226,0,1.161289,1.496683,2.958541,0.1405533,0,0.8819439,1.414703,2.741481,0.02135167,3.019653
1239,0,1.160665,1.498676,2.958658,0.1533748,0,0.882023,1.414491,2.741564,0.01770484,0.6410785
1254,0,1.160355,1.500937,2.95906,0.1647702,0,0.8821281,1.414341,2.7416,0.01322506,0.5697705
1268,0,1.161242,1.502237,2.960269,0.1418556,0,0.8822296,1.414334,2.74157,0.007589843,-1.145731
1281,0,1.162233,1.503907,2.961529,0.1653958,0,0.8823202,1.414412,2.741512,0.00949987,1.17701
1296,0,1.162801,1.506693,2.963024,0.2321257,0,0.8823985,1.414491,2.741446,0.009325316,3.336494
1310,0,1.162821,1.509854,2.964569,0.2426272,0,0.8825856,1.414687,2.741273,0.0222012,0.5250745
1324,0,1.162451,1.51264,2.966295,0.2445974,0,0.8827582,1.414972,2.741064,0.0292027,0.09850785
1337,0,1.161775,1.515018,2.968007,0.2175933,0,0.8829333,1.41531,2.740835,0.03209317,-1.350203
1351,0,1.161011,1.51712,2.969684,0.2015225,0,0.8830009,1.415535,2.74069,0.01990597,-0.8035399
1365,0,1.160282,1.519023,2.971796,0.2102748,0,0.8830509,1.415719,2.740562,0.01650269,0.4376143
1379,0,1.159935,1.521344,2.973929,0.2275357,0,0.883083,1.415883,2.740459,0.01405292,0.8630469
1393,0,1.159152,1.523866,2.976139,0.2479101,0,0.883121,1.415966,2.740412,0.007362436,1.01872
1407,0,1.158013,1.526078,2.978449,0.2445142,0,0.8831456,1.416023,2.740378,0.005098666,-0.1697965
1420,0,1.156551,1.527786,2.980831,0.2395476,0,0.8831604,1.41609,2.740333,0.006072784,-0.2483316
1434,0,1.154873,1.528912,2.983273,0.2244301,0,0.8831592,1.416159,2.740286,0.005835656,-0.7558726
1449,0,1.153102,1.529682,2.985658,0.2168996,0,0.883153,1.416243,2.740235,0.006953949,-0.3765255
1463,0,1.151864,1.529824,2.988087,0.1914812,0,0.8831397,1.416318,2.740186,0.006384083,-1.270922
1477,0,1.150993,1.529338,2.990709,0.208275,0,0.8831167,1.416389,2.740137,0.006642084,0.8396901
1491,0,1.149682,1.528478,2.993236,0.2133907,0,0.8830758,1.416468,2.740078,0.007675192,0.2557859
1504,0,1.147271,1.527279,2.995366,0.2497696,0,0.8830333,1.416518,2.740037,0.005601176,1.818948
1518,0,1.14512,1.525933,2.997349,0.2330747,0,0.8830041,1.416545,2.740008,0.003593124,-0.8347467
1532,0,1.143414,1.524646,2.998785,0.1825273,0,0.8829772,1.416577,2.739977,0.003699352,-2.527368
1547,0,1.142868,1.524436,2.999751,0.08085404,0,0.8829542,1.41662,2.739956,0.003797394,-5.083665
1560,0,1.142237,1.524672,3.000293,0.06215117,0,0.8829387,1.416662,2.739933,0.00360287,-0.9351438
1574,0,1.141621,1.524782,3.000302,0.04400619,0,0.882931,1.416695,2.739908,0.002971501,-0.9072489
1602,0,1.139663,1.525308,2.999,0.172792,0,0.8829549,1.416732,2.739853,0.005027638,6.439289
1616,0,1.137868,1.525865,2.997691,0.1624228,0,0.8829712,1.416767,2.739816,0.003786968,-0.5184569
1630,0,1.136122,1.526544,2.996022,0.1802331,0,0.8829885,1.416827,2.739775,0.005404358,0.8905135
1644,0,1.134957,1.526787,2.994679,0.1286633,0,0.8830001,1.416886,2.739742,0.004878022,-2.578489
1658,0,1.133973,1.526709,2.993036,0.1364576,0,0.8830013,1.416928,2.739717,0.003492123,0.3897138
1672,0,1.133098,1.526608,2.991045,0.1602945,0,0.8830038,1.416974,2.739702,0.003550373,1.191846
1685,0,1.132158,1.526733,2.988673,0.1845992,0,0.8830061,1.416991,2.73971,0.001369618,1.215234
1699,0,1.130913,1.527049,2.986053,0.2040785,0,0.8830127,1.416957,2.739745,0.003508121,0.973966
